	stt	time	v	v-bs	fit
	stt0	time0	v0	v-bs0	fit0
1	['timeout']	2046.196	1580	1029	['NULL', 'NULL', 0.9807692307692307, 0.9807692307692307, 0.9807692307692307, 0.8846153846153846, 0.9807692307692307, 0.9615384615384616, 'NULL', 0.9807692307692307, 0.9807692307692307, 'NULL', 0.9615384615384616, 0.9807692307692307, 'NULL', 0.8846153846153846, 'NULL', 0.9807692307692307, 0.9807692307692307, 0.9807692307692307, 0.9807692307692307, 0.9807692307692307, 0.9038461538461539, 0.8461538461538461, 'NULL', 0.9038461538461539, 0.8461538461538461, 0.8461538461538461, 0.9423076923076923, 0.8461538461538461, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.9807692307692307, 'NULL', 'NULL', 0.9807692307692307, 0.8653846153846154, 'NULL', 0.8846153846153846, 0.9807692307692307, 0.8846153846153846, 'NULL', 'NULL', 0.9807692307692307, 0.9807692307692307, 'NULL', 0.8846153846153846, 'NULL', 'NULL', 'NULL', 'NULL', 0.9807692307692307, 'NULL', 0.9615384615384616, 0.8461538461538461, 'NULL', 0.9423076923076923, 0.9807692307692307, 0.9807692307692307, 0.9038461538461539, 'NULL', 0.9615384615384616, 0.9807692307692307, 'NULL', 0.9807692307692307, 0.9423076923076923, 0.9807692307692307, 'NULL', 'NULL', 'NULL', 0.9038461538461539, 'NULL', 0.9807692307692307, 'NULL', 0.9807692307692307, 'NULL', 'NULL', 0.8846153846153846, 0.9807692307692307, 0.9807692307692307, 'NULL', 0.9807692307692307, 0.9807692307692307, 0.9807692307692307, 'NULL', 0.9038461538461539, 'NULL', 'NULL', 'NULL', 'NULL', 0.9038461538461539, 0.8846153846153846, 0.8846153846153846, 0.9038461538461539, 'NULL', 'NULL', 'NULL', 0.9807692307692307, 'NULL', 0.9038461538461539, 0.9807692307692307, 'NULL', 0.9807692307692307, 0.9807692307692307, 0.9615384615384616, 0.9807692307692307, 'NULL', 0.8461538461538461, 0.9807692307692307, 'NULL', 'NULL', 'NULL', 'NULL', 0.9807692307692307, 'NULL', 0.8461538461538461, 0.9615384615384616, 'NULL', 0.9807692307692307, 'NULL', 0.9807692307692307, 0.9807692307692307, 'NULL', 0.9807692307692307, 0.8846153846153846, 'NULL', 0.8846153846153846, 0.9807692307692307, 0.9807692307692307, 0.9615384615384616, 'NULL', 0.9807692307692307, 'NULL', 0.9615384615384616, 0.9807692307692307, 0.9807692307692307, 'NULL', 0.9807692307692307, 0.9038461538461539, 0.9423076923076923, 0.9807692307692307, 0.8846153846153846, 0.9807692307692307, 0.8653846153846154, 0.8846153846153846, 0.9807692307692307, 0.9807692307692307, 'NULL', 'NULL', 0.9615384615384616, 0.9807692307692307, 0.9807692307692307, 0.9807692307692307, 0.9807692307692307]
2	['found']	174.114	350	256	[0.875, 0.8125, 0.9375, 0.9375, 0.8125, 0.9375, 'NULL', 0.9375, 'NULL', 0.9375, 0.9375, 0.875, 0.9375, 0.9375, 'NULL', 0.9375, 0.9375, 'NULL', 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.9375, 0.875, 0.9375, 'NULL', 0.9375, 'NULL', 0.9375, 'NULL', 1.0]
3	['timeout']	2273.693	3850	2491	['NULL', 'NULL', 0.9024390243902439, 0.975609756097561, 'NULL', 0.926829268292683, 'NULL', 0.926829268292683, 0.9024390243902439, 'NULL', 0.926829268292683, 0.926829268292683, 'NULL', 0.926829268292683, 'NULL', 'NULL', 'NULL', 'NULL', 0.926829268292683, 0.975609756097561, 'NULL', 0.926829268292683, 0.975609756097561, 'NULL', 'NULL', 'NULL', 0.926829268292683, 'NULL', 0.975609756097561, 0.926829268292683, 'NULL', 0.926829268292683, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.926829268292683, 'NULL', 'NULL', 0.975609756097561, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.926829268292683, 'NULL', 0.975609756097561, 'NULL', 'NULL', 'NULL', 0.975609756097561, 'NULL', 'NULL', 0.975609756097561, 0.926829268292683, 0.926829268292683, 'NULL', 'NULL', 'NULL', 'NULL', 0.975609756097561, 'NULL', 'NULL', 0.975609756097561, 'NULL', 'NULL', 'NULL', 0.975609756097561, 0.975609756097561, 'NULL', 0.926829268292683, 'NULL', 0.975609756097561, 'NULL', 'NULL', 'NULL', 'NULL', 0.975609756097561, 0.926829268292683, 'NULL', 0.975609756097561, 'NULL', 0.975609756097561, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.926829268292683, 'NULL', 0.975609756097561, 0.926829268292683, 0.926829268292683, 'NULL', 'NULL', 0.975609756097561, 0.926829268292683, 'NULL', 'NULL', 0.975609756097561, 'NULL', 0.975609756097561, 'NULL', 'NULL', 0.975609756097561, 0.975609756097561, 'NULL', 'NULL', 0.975609756097561, 0.926829268292683, 'NULL', 'NULL', 0.926829268292683, 0.926829268292683, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.975609756097561, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.926829268292683, 'NULL', 0.975609756097561, 'NULL', 0.926829268292683, 0.926829268292683, 0.975609756097561, 0.975609756097561, 0.926829268292683, 0.975609756097561, 'NULL', 'NULL', 0.926829268292683, 0.975609756097561, 0.975609756097561, 0.975609756097561, 'NULL', 'NULL', 'NULL', 'NULL', 0.975609756097561, 'NULL', 0.975609756097561, 'NULL', 'NULL', 'NULL', 0.975609756097561, 'NULL', 'NULL', 'NULL', 'NULL', 0.926829268292683, 'NULL', 'NULL', 'NULL', 'NULL', 0.926829268292683, 'NULL', 'NULL', 'NULL', 'NULL', 0.975609756097561, 'NULL', 0.926829268292683, 0.975609756097561, 0.926829268292683, 0.926829268292683, 'NULL', 'NULL', 0.975609756097561, 0.926829268292683, 'NULL', 0.975609756097561, 'NULL', 0.975609756097561, 'NULL', 0.975609756097561, 'NULL', 'NULL', 'NULL', 0.975609756097561, 'NULL', 'NULL', 'NULL', 'NULL', 0.9024390243902439, 0.975609756097561, 0.9024390243902439, 'NULL', 0.975609756097561, 'NULL', 0.975609756097561, 0.926829268292683, 0.975609756097561, 0.975609756097561, 'NULL', 0.975609756097561, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.975609756097561, 'NULL', 0.926829268292683, 'NULL', 'NULL', 0.975609756097561, 0.975609756097561, 'NULL', 'NULL', 'NULL', 0.975609756097561, 'NULL', 'NULL', 0.975609756097561, 0.926829268292683, 'NULL', 'NULL', 0.926829268292683, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.975609756097561, 'NULL', 0.975609756097561, 'NULL', 0.926829268292683, 0.9024390243902439, 'NULL', 0.926829268292683, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.926829268292683, 0.926829268292683, 'NULL', 0.975609756097561, 0.975609756097561, 0.975609756097561, 'NULL', 0.926829268292683, 'NULL', 'NULL', 0.926829268292683, 'NULL', 'NULL', 'NULL', 'NULL', 0.975609756097561, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.975609756097561, 'NULL', 'NULL', 'NULL', 'NULL', 0.975609756097561, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.975609756097561, 'NULL', 'NULL', 0.926829268292683, 'NULL', 'NULL', 'NULL', 0.975609756097561, 'NULL', 0.975609756097561, 0.975609756097561, 'NULL', 'NULL', 0.975609756097561, 'NULL', 0.926829268292683, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.975609756097561, 0.926829268292683, 'NULL', 'NULL', 0.9024390243902439, 'NULL', 'NULL', 'NULL', 0.926829268292683, 0.975609756097561, 'NULL', 'NULL', 'NULL', 0.926829268292683, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.926829268292683, 'NULL', 'NULL', 0.926829268292683, 'NULL', 'NULL', 0.975609756097561, 'NULL', 0.975609756097561, 0.975609756097561, 0.975609756097561, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.926829268292683, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.975609756097561, 0.926829268292683, 0.926829268292683, 'NULL', 0.975609756097561, 'NULL', 'NULL', 'NULL', 'NULL', 0.975609756097561, 0.975609756097561, 0.975609756097561, 'NULL', 0.975609756097561, 0.975609756097561, 0.975609756097561, 0.975609756097561]
4	['timeout']	1918.806	2730	2153	['NULL', 'NULL', 0.6923076923076923, 'NULL', 0.6923076923076923, 'NULL', 0.6923076923076923, 0.6923076923076923, 'NULL', 0.9615384615384616, 0.6923076923076923, 0.6923076923076923, 0.8076923076923077, 'NULL', 0.9230769230769231, 'NULL', 0.8076923076923077, 0.15384615384615385, 0.8076923076923077, 0.6923076923076923, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.5, 0.8076923076923077, 0.8076923076923077, 'NULL', 'NULL', 0.7692307692307693, 'NULL', 0.9230769230769231, 'NULL', 0.9230769230769231, 0.5384615384615384, 0.9230769230769231, 'NULL', 0.9230769230769231, 0.9230769230769231, 0.9615384615384616, 'NULL', 0.15384615384615385, 'NULL', 'NULL', 0.9615384615384616, 0.8076923076923077, 'NULL', 'NULL', 'NULL', 'NULL', 0.8461538461538461, 'NULL', 'NULL', 'NULL', 'NULL', 0.38461538461538464, 0.9615384615384616, 0.6923076923076923, 0.15384615384615385, 0.7307692307692307, 0.5, 'NULL', 'NULL', 0.5384615384615384, 'NULL', 0.5384615384615384, 0.9615384615384616, 'NULL', 0.9615384615384616, 'NULL', 'NULL', 'NULL', 'NULL', 0.9615384615384616, 0.4230769230769231, 0.5384615384615384, 'NULL', 0.5384615384615384, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.9615384615384616, 'NULL', 0.4230769230769231, 0.6923076923076923, 0.9615384615384616, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.19230769230769232, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.15384615384615385, 0.5384615384615384, 'NULL', 'NULL', 'NULL', 'NULL', 0.07692307692307693, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.9615384615384616, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.4230769230769231, 0.5384615384615384, 0.9615384615384616, 0.9615384615384616, 0.07692307692307693, 'NULL', 'NULL', 0.9615384615384616, 'NULL', 'NULL', 0.6923076923076923, 0.9615384615384616, 0.9615384615384616, 0.4230769230769231, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.9615384615384616, 'NULL', 'NULL', 'NULL', 0.4230769230769231, 0.8461538461538461, 'NULL', 0.9615384615384616, 'NULL', 0.9615384615384616, 'NULL', 0.9615384615384616, 'NULL', 'NULL', 'NULL', 'NULL', 0.9615384615384616, 'NULL', 'NULL', 'NULL', 'NULL', 0.5384615384615384, 'NULL', 0.23076923076923078, 'NULL', 'NULL', 'NULL', 0.9615384615384616, 'NULL', 0.5384615384615384, 'NULL', 'NULL', 0.9615384615384616, 0.9615384615384616, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.9615384615384616, 'NULL', 'NULL', 'NULL', 0.7307692307692307, 0.9615384615384616, 0.9615384615384616, 'NULL', 'NULL', 0.9615384615384616, 0.23076923076923078, 0.9615384615384616, 'NULL', 'NULL', 'NULL', 'NULL', 0.5384615384615384, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.5384615384615384, 'NULL', 'NULL', 'NULL', 'NULL', 0.9615384615384616, 'NULL', 'NULL', 'NULL', 0.5384615384615384, 0.5384615384615384, 0.15384615384615385, 'NULL', 'NULL', 0.5384615384615384, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.5384615384615384, 'NULL', 0.5384615384615384, 0.9615384615384616, 0.5384615384615384, 0.9615384615384616, 'NULL', 0.9615384615384616, 0.5384615384615384, 0.5384615384615384, 0.5384615384615384, 'NULL', 'NULL', 'NULL', 'NULL', 0.5, 'NULL', 0.9615384615384616, 'NULL', 'NULL', 'NULL', 0.9615384615384616, 'NULL', 0.9615384615384616, 0.5384615384615384, 0.5384615384615384, 0.9615384615384616, 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 0.07692307692307693, 0.9615384615384616]
5	['found']	187.107	130	82	[0.991869918699187, 'NULL', 'NULL', 0.983739837398374, 0.991869918699187, 'NULL', 0.991869918699187, 0.991869918699187, 'NULL', 0.983739837398374, 0.991869918699187, 0.8699186991869918, 1.0]
6	[]	2402.015	890	633	['NULL', 0.6857142857142857, 0.6952380952380952, 'NULL', 0.6761904761904762, 'NULL', 'NULL', 'NULL', 0.6857142857142857, 'NULL', 0.6761904761904762, 0.6857142857142857, 0.6952380952380952, 'NULL', 0.6952380952380952, 0.6857142857142857, 0.6952380952380952, 0.6952380952380952, 0.6952380952380952, 'NULL', 0.6952380952380952, 0.6952380952380952, 0.6666666666666666, 'NULL', 'NULL', 0.6952380952380952, 0.6952380952380952, 0.6952380952380952, 'NULL', 'NULL', 'NULL', 0.6952380952380952, 'NULL', 'NULL', 'NULL', 0.6952380952380952, 'NULL', 'NULL', 0.6952380952380952, 0.6952380952380952, 'NULL', 'NULL', 0.6952380952380952, 'NULL', 0.6952380952380952, 0.6952380952380952, 0.6952380952380952, 0.6952380952380952, 0.6952380952380952, 'NULL', 'NULL', 0.6857142857142857, 0.6952380952380952, 'NULL', 0.6952380952380952, 'NULL', 0.6952380952380952, 'NULL', 0.6952380952380952, 0.6952380952380952, 'NULL', 'NULL', 0.6952380952380952, 'NULL', 0.6952380952380952, 0.6952380952380952, 'NULL', 'NULL', 0.6476190476190476, 0.6952380952380952, 0.6952380952380952, 'NULL', 0.6952380952380952, 'NULL', 0.6952380952380952, 'NULL', 'NULL', 'NULL', 0.6857142857142857, 0.6952380952380952, 0.6952380952380952, 0.6190476190476191, 'NULL', 0.6952380952380952, 0.6952380952380952, 0.6476190476190476, 0.6952380952380952, 'NULL', 'NULL']
7	['found']	355.393	630	393	[0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.8333333333333334, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.8333333333333334, 0.16666666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.8333333333333334, 0.8333333333333334, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.8333333333333334, 0.9166666666666666, 0.9166666666666666, 0.75, 0.8333333333333334, 'NULL', 0.9166666666666666, 0.8333333333333334, 0.75, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.8333333333333334, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 'NULL', 'NULL', 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.6666666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 'NULL', 0.6666666666666666, 0.9166666666666666, 1.0]
8	['found']	415.568	1890	1178	[0.8461538461538461, 0.0, 'NULL', 0.8461538461538461, 0.8461538461538461, 'NULL', 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 'NULL', 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 'NULL', 0.8461538461538461, 0.9230769230769231, 0.0, 0.0, 0.8461538461538461, 0.9230769230769231, 0.0, 0.9230769230769231, 0.9230769230769231, 0.8461538461538461, 'NULL', 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 'NULL', 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.23076923076923078, 'NULL', 0.9230769230769231, 0.9230769230769231, 'NULL', 0.8461538461538461, 0.0, 'NULL', 0.3076923076923077, 0.0, 'NULL', 0.9230769230769231, 0.3076923076923077, 0.9230769230769231, 0.9230769230769231, 0.8461538461538461, 0.9230769230769231, 'NULL', 0.9230769230769231, 0.9230769230769231, 0.23076923076923078, 0.9230769230769231, 'NULL', 0.9230769230769231, 0.9230769230769231, 'NULL', 0.9230769230769231, 'NULL', 0.9230769230769231, 'NULL', 0.9230769230769231, 0.3076923076923077, 0.0, 0.8461538461538461, 0.0, 'NULL', 0.0, 0.9230769230769231, 0.0, 0.9230769230769231, 0.8461538461538461, 'NULL', 0.0, 0.8461538461538461, 'NULL', 'NULL', 'NULL', 0.9230769230769231, 0.9230769230769231, 'NULL', 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 'NULL', 0.0, 'NULL', 0.9230769230769231, 0.9230769230769231, 0.0, 0.8461538461538461, 0.3076923076923077, 'NULL', 'NULL', 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.3076923076923077, 0.8461538461538461, 'NULL', 0.9230769230769231, 'NULL', 0.0, 0.9230769230769231, 'NULL', 0.9230769230769231, 'NULL', 'NULL', 0.8461538461538461, 0.0, 0.9230769230769231, 0.8461538461538461, 0.9230769230769231, 'NULL', 0.8461538461538461, 0.23076923076923078, 0.0, 'NULL', 'NULL', 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 0.8461538461538461, 0.3076923076923077, 'NULL', 0.9230769230769231, 'NULL', 0.8461538461538461, 0.0, 0.9230769230769231, 0.9230769230769231, 0.0, 0.23076923076923078, 0.3076923076923077, 'NULL', 0.9230769230769231, 0.9230769230769231, 'NULL', 'NULL', 0.0, 0.3076923076923077, 'NULL', 0.9230769230769231, 0.8461538461538461, 0.9230769230769231, 0.3076923076923077, 'NULL', 'NULL', 0.0, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 'NULL', 'NULL', 0.9230769230769231, 0.8461538461538461, 'NULL', 0.3076923076923077, 0.9230769230769231, 'NULL', 0.0, 0.9230769230769231, 0.9230769230769231, 0.8461538461538461, 0.8461538461538461, 'NULL', 0.9230769230769231, 0.9230769230769231, 0.3076923076923077, 0.9230769230769231, 0.0, 'NULL', 'NULL', 'NULL', 0.9230769230769231, 1.0]
