	stt	time	v	v-bs	era	fit
	stt0	time0	v0	v-bs0	era0	fit0
1	['timeout']	4001.814	4150	2657	415	[0.9733333333333334, 0.9733333333333334, 0.9733333333333334, 0.9911111111111112, 0.9911111111111112, 0.9911111111111112, 0.9911111111111112, 0.9911111111111112, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555, 0.9955555555555555]
2	['found']	22.564	120	86	12	[0.9375, 0.96875, 0.96875, 0.96875, 0.96875, 0.96875, 0.96875, 0.96875, 0.96875, 0.96875, 0.96875, 1.0]
3	['timeout']	4000.523	8490	5938	849	[0.9682539682539683, 0.9682539682539683, 0.9761904761904762, 0.9761904761904762, 0.9761904761904762, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921, 0.9920634920634921]
